ID     ,Product Type ,Name                                                            ,SKU                                                                   ,Price   ,Cost   ,Brand            ,Status  ,Visibility ,Availability ,Price Update ,Weight
       ,product      ,BHP COLAGENO HIDROLIZADO ULTRA 30 SERV UVA                      ,BHP COLAGENO HIDROLIZADO ULTRA 30 SERV UVA                            , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP GAINER ULTRA BAG 10 LB FRESAS CON CREMA                     ,BHP GAINER ULTRA BAG 10 LB FRESAS CON CREMA                           , 873.27 , 602.0 ,BHP              ,New     ,True       ,available    ,             ,  10.0
       ,product      ,BHP GAINER ULTRA BAG 10 LB PASTEL DE CHOCOLATE                  ,BHP GAINER ULTRA BAG 10 LB PASTEL DE CHOCOLATE                        , 873.27 , 602.0 ,BHP              ,New     ,True       ,available    ,             ,  10.0
       ,product      ,BHP GAINER ULTRA BAG 10 LB VAINILLA                             ,BHP GAINER ULTRA BAG 10 LB VAINILLA                                   , 873.27 , 602.0 ,BHP              ,New     ,True       ,available    ,             ,  10.0
       ,product      ,BHP GLUTAMINA ULTRA 1 KG                                        ,BHP GLUTAMINA ULTRA 1 KG                                              , 641.27 , 442.0 ,BHP              ,New     ,True       ,available    ,             ,   1.0
       ,product      ,BHP GLUTAMINA ULTRA 300 GR                                      ,BHP GLUTAMINA ULTRA 300 GR                                            , 251.22 , 173.0 ,BHP              ,New     ,True       ,available    ,             ,   0.3
       ,product      ,BHP GLUTAMINA ULTRA 500 GMS                                     ,BHP GLUTAMINA ULTRA 500 GMS                                           , 374.47 , 258.0 ,BHP              ,New     ,True       ,available    ,             ,   0.5
       ,product      ,BHP HMB 60 CAPS                                                 ,BHP HMB 60 CAPS                                                       , 193.22 , 133.0 ,BHP              ,New     ,True       ,available    ,             ,  60.0
       ,product      ,BHP ISO ULTRA PURE 0 CARB 4.23 LBS FRESAS CON CREMA             ,BHP ISO ULTRA PURE 0 CARB 4.23 LBS FRESAS CON CREMA                   ,1205.32 , 831.0 ,BHP              ,New     ,True       ,available    ,             ,   1.9186941600000003
       ,product      ,BHP ISO ULTRA PURE 0 CARB 4.23 LBS PASTEL DE CHOCOLATE          ,BHP ISO ULTRA PURE 0 CARB 4.23 LBS PASTEL DE CHOCOLATE                ,1205.32 , 831.0 ,BHP              ,New     ,True       ,available    ,             ,   1.9186941600000003
       ,product      ,BHP ISO ULTRA PURE 0 CARB 4.23 LBS VAINILLA                     ,BHP ISO ULTRA PURE 0 CARB 4.23 LBS VAINILLA                           ,1205.32 , 831.0 ,BHP              ,New     ,True       ,available    ,             ,   1.9186941600000003
       ,product      ,BHP ISO ULTRA PURE 0 CARBS 2 LB PASTEL DE CHOCOLATE             ,BHP ISO ULTRA PURE 0 CARBS 2 LB PASTEL DE CHOCOLATE                   , 649.97 , 448.0 ,BHP              ,New     ,True       ,available    ,             ,   2.0
       ,product      ,BHP L-ARGININA ULTRA 100 CAPS                                   ,BHP L-ARGININA ULTRA 100 CAPS                                         , 226.57 , 156.0 ,BHP              ,New     ,True       ,available    ,             , 100.0
       ,product      ,BHP L-CARNITINA LIQUIDA ULTRA 500 ML NARANJA- MANDARINA         ,BHP L-CARNITINA LIQUIDA ULTRA 500 ML NARANJA- MANDARINA               , 226.57 , 156.0 ,BHP              ,New     ,True       ,available    ,             , 500.0
